contents,description,cause,solution
BLOWN FINISH,"Expansion of the finish, located at or above the pilfer band, which may be seen
and felt on the inside surface. At its worst, air leaks may be heard during high
blow. Also called a “burst neck”.
Overheating of the finish area allows main blow pressure air to stretch the
material. Dimensionally larger or misshapen, causing capping problems. Can
be detected visually or by measurements.","1. Oven ambient temperature too high.
2. Standby % too high.
3. Preform is affected by the 2""? and/or 3 lamp heat.
4. Orientated lamps are pointing straight down.
5. Preform internal diameter incorrect, preform sitting high.
6. Incorrect loading height, too much of the finish is exposed to the infrared
lamps.
7. Preform storage, not conditioned for sufficient time after production.
8. Poor strain image in neck.
9. Short shot, primarily in vent slots.
10. No black paint on the cooling shields.
11. Aged preforms.","1. Increase oven ventilation or direct air on to the neck of the preform. 2. Find out WHEN the problem is occurring — is it after idle time — if so, the spindles may be overheating — decrease the standby %. 3. Reduce neck element heat by turning off lamps or decreasing their percentage. 4. Place a quartz bar in front of the zone 1 lamps in ovens 1 and 2 to more carefully direct rays on to the preform. 5. Check the loading safety (to ensure it is detecting mis-loaded preforms). 6. Check the loading operation to ensure the preforms are loaded correctly. 7. Check the shield temperature (chiller water). This should be as low as possible without creating condensation. 8. Check position of lamps, especially Zones 1,2 and 3. 9. Introduce CB2 cooling shields. 10. Introduce a flat reflector between Zones 1 and 2. 11. Check preform quality. 12. Adjust orientated lamp angle (the lamp should be angled at approximately 45°). 13. Check preform age. 14. Check preform conditioning after production."
SEALING SURFACE AND NECK SUPPORT RING DAMAGE,"As the transfer arm releases the preform into the closed mould, force is applied
unevenly to the preform’s finish. In the cooler weather, the blow nozzle will
straighten the preform, at higher oven ambient temperatures the neck finish will
stretch rather than straighten as the blow nozzle lowers into position.","1. Poor transfer arm positioning causing misalignment of the preform, blow
mould and blow nozzle.
2. Blow mould and nozzle alignment.
3. Dirt/plastic embedded in preform mould.
4. Short shots.
5. Mechanical damage between preform production and in-feed at blow
moulder.
6. Sharp edges or no clearance on blow mould neck inserts.","1. Re-align transfer arm — height and timing.
2. Re-align blow mould or nozzle if necessary.
3. Clean preform mould, if always in same position on prefrom cavity.
4. Check hopper, elevator, belt conveyor and unscrambler for possible
sources of preform damage.
5. Check dimensions of insert in the blow mould to ensure there is
clearance for the neck support ring.
6. Check for sharp edge on insert in the blow mould which may shave
material of the neck support ring."
NECK CONSTRICTION,"A fold of material in the neck or upper shoulder. May range from being small
enough to be felt with the fingernail, to leaving a hole through the fold, that is the
same diameter as the stretch rod.
Over-stretching of the preform by the stretch rod prior to blow. As the preform is
stretched by the rod, it’s diameter quickly reduces until it eventually touches the
stretch rod, cooling rapidly, trapping material in the form of a ring.","1. Low pre-blow, delayed or missing.
2. Flow restrictor closed too much.
3. Damaged three-way valve.
4. Adjust heat profile.
5. Bent stretch rod.","1. If problem is occurring on all stations, move the pre-blow cam earlier or
increase the pre-blow pressure.
2. Increase pre-blow flow, especially if only one station is affected, by using
the flow restrictor.
3. If problem is occurring on one station, then check the operation of the
three-way valve. Switch the valve between stations to confirm problem if
unsure.
4. Decrease temperature at the neck or increase heat in the body and/or
base.
5. Check straightness of stretch rod and change if necessary."
PERPENDICULARITY,"The distortion may occur at or above the neck support ring or at the shoulder and
neck.","1. Mis-alignment of the preform to the mould or nozzle.
2. Sharp edges or no clearance on blow mould neck inserts.
3. Distortion below the neck support ring.
a) Insufficient mould cooling.
b) One mould half with poor cooling.
c) Excessive material remaining in the neck and shoulder — therefore the
d)
bottle is still hot in the shoulder when packed resulting in a bent neck.
Bottles left in the sun — heat effected.","1. Re-align transfer arm (height and timing). 2. Re-align blow mould or nozzle if necessary. 3. Check dimensions in the blow mould to insure there is clearance for the neck support ring. 4. Check for sharp edges on neck inserts in the blow moulds. 5. Adjust the profiling percentages. 6. Reduce material thickness in the shoulder by reducing heat in the body. 7. Increase main blow time by bringing blow cam sooner — this increases the heat exchange time. 8. Improve mould cooling — moulds need to be 10-12°C to freeze the plastic. Check the mould temperature by touch, it should be cold. 9. Exhaust cam moved later to extend the blowing/cooling time. 10. Change the shield design or paint black on side."
HARD SHOULDER,"An excess of material remains in the neck and shoulder which may be bent. In
effect too much of the body has stretched before the neck. What material is left
remains in the neck. Appearance of the shoulder may indicate inconsistent
patchy stretching, more often seen in 2 litre bottles.","1. Incorrect heat profile.
2. Incorrect blowing settings.
3. Lazy stretch rod cylinder (only one station affected).
4. Faulty non-return valve, allowing high-pressure air to pass into next
station at pre-blow stage.
5. Air leak into preform before the start of pre-blow, cooling the upper part
of the preform. In this case pearlescence may be evident on one side of
the bottle (unlikely).
6. Preform location incorrect through oven. The shields are too high
relative to the neck support ring.","1. Reduce heat in the body and/or base before pearlescence occurs, then increase neck temperature in an effort to stretch material away from the neck. 2. Alternatively increase neck heat. 3. Advance lamps in zone 2 if all lamps are on (and at 100%) to get more heat into the neck. 4. Move oven banks closer to the preform to improve penetration. 5. Move the pre-blow cam later. 6. Reduce pre-blow pressure. 7. Check stretch rod cylinder by watching to see if the roller follows the stretching cam. 8. Replace non-return valve at preceding station. 9. Check cooling shield settings. 10. Check for air leak through nozzle and if necessary change the seal. 11. Check height of preform through oven to ensure there is not a preform loading problem."
THIN SHOULDER,"Shoulder wall thickness too thin, high base weight. This is due to excessive
stretching of the preform taper.
Stations producing a smaller pre-blow container will be first with the fault or the
thinnest.","1. Blowing parameters require adjustment.
2. Heat profiling incorrect.
3. Poor shield positioning, allowing excessive stretching of the thin part of
the taper.
4. Individual flow control valves faulty or flow restrictor not open enough
turns.","1. Increase pre-blow pressure.
2. Move pre-blow cam earlier.
3. Reduce heat in the neck by re-profiling or increase heat in the body
and/or base of the preform.
4. Open pre-blow restrictor if problem associated with one station."
OPALESCENCE (TOO WARM,"Hazy-white in colour, usually found on the outside surface of the bottle. Dull in
appearance, in almost every case surrounding the bottle. Flow marks may
indicate hot bottles.","1. Preform set point too high.
2. Too much heat applied adjacent to the haze.
3. Insufficient ventilation in oven creating excess surface temperature.
A. Preform wall thickness excessive.
5. Blower not capable of processing newer generation preform’s.","1. Reduce set point temperature.
2. Reduce heat adjacent to the haze.
3. Increase the air ventilation and, if necessary, clean blowers.
4. Use the minimum temperature (Set point) possible to blow a good bottle —
this maximises strength.
5. Lamp percentages may be too low — leads to burnt outside and cold
inside on the preform. Decrease the number of lamps switched on and
increase the percentage of lamps that remain on.
NOTE: 4 and 5 are good practice for any bottle process."
EXCESSIVE FILL POINT DROP,"When carbonated, the bottle appears partially empty. Diameter and/or height
increases excessively.
As the carbonated bottle is exposed to higher temperatures, the pressure
increases inside the bottle. Insufficient orientation was formed during the
blowing process i.e. the bottle was orientated too hot. Low levels of orientation
results in the material not having enough strength to resist the pressure applied.","1. The overall temperature of the preform is too high.
2. The preforms are too old (they have absorbed too much moisture).","1. Reduce overall preform temperature allowing the bottle to be blown
closer to its natural stretch limit. Under this condition slight pearlescence
may be evident.
2. Check the age of the preforms and, if over 12 months, try a more recent
production batch."
PEARLESCENCE (TOO COLD),"Blue in colour appearing fragmented and patchy at the edges. Usually located
on the inside surface and may be rubbed off with a fingernail. Usually located in
the lower label panel or base petals on large containers and in the body of small
containers.
The resultant bottle has poor clarity.","Pearlescence results from stretching of molecules faster than they can respond
past their natural stretch limit. This is usually when the material is stretched too
cold or overstretched. Small tears appear on the material’s surface.
Overstretching (when the preform to bottle ratio is too high) can be checked by
testing the thickness of the bottle.","1. Increase overall preform temperature — set point.
2. Material too thin — increase heat other than where pearlescence is
evident.
3. Where the pearlescence area may be allowed to stretch further increase
heat at pearlescence.
4. If pearlescence is opposite an off-centre sprue then refer to Off-Centre
Base.
5. Pearlescence on the bottle shoulder may be the result of a blow air leak
through nozzle.
6. Reduce pre-blow volume, increase pre-blow time and reduce pre-blow
pressure.
7. Ensure pre-blow bottle is not too large, excessive petal formation in pre-
blow will cause pearlescence in the petal area (base).
8. Pearlescence in the body in the form of a ring is the result of insufficient
pre-blow."
FLAT SIDES,"Flat sides are usually found at the vertical part lines of the blow moulds. They
may also be found anywhere air can be trapped during the blowing process but
are more likely on the parting lines of the blow mould or on the feet.","1. Feet not blown due to a low main blow.
2. Feet not blown due to blocked vents.
3. Flat on parting line due to incorrectly set compensation.
4. Flat on parting line due to no compensation on machine (older generation
equipment).","1. Check compensation pressure on moulds.
2. Clear vents on feet.
3. Check compensation setting on moulds.
4. Check main blow pressure."
